gene	c1	c2	c3	t1	t2	t3
TARGET1	1000	980	1020	600	590	610
DIRECT_NEAR	500	510	490	110	100	120
SEED8_UTR	400	405	395	250	245	255
SEED7	350	345	355	260	250	255
WEAK_PARTIAL	300	305	295	250	245	255
PASSENGER_DIRECT	420	430	410	180	170	190
SIMILAR_NO_EXPR	320	315	325	318	316	326
SECONDARY_DOWN	600	610	590	300	290	310
SECONDARY_UP	220	225	215	360	350	370
MODULE_A	500	505	495	280	275	285
MODULE_B	510	500	520	290	285	295
REGULON_RESP	450	455	445	250	245	255
STRESS_IFN	250	255	245	420	410	430
MIXED_GENE	480	470	490	190	185	195
UNCHANGED1	300	300	300	302	298	300
LOWCOUNT_FC	4	5	4	1	0	1
NOISE_CHANGE	200	205	195	120	125	115
DIRECTION_BAD	350	355	345	180	175	185
INACCESSIBLE_MATCH	260	255	265	230	225	235
